DATE,Yield,FedFundsRate,inflation,employment,other,AY,CAY
2018-02-13,2.83,1.42,0.143,0.143,0.714,,0.06812500000000007
2018-02-22,2.92,1.42,0.083,0.333,0.583,,-0.04975609756097564
2018-02-26,2.86,1.42,0.273,0.273,0.455,,0.021777777777777806
2018-02-26,2.86,1.42,0.273,0.273,0.455,,0.021777777777777806
2018-02-26,2.86,1.42,0.0,0.077,0.923,,0.021777777777777806
2018-02-26,2.86,1.42,0.0,0.077,0.923,,0.021777777777777806
2018-03-05,2.88,1.42,0.0,0.0,1.0,,-0.008076923076923075
2018-03-06,2.88,1.42,0.25,0.312,0.438,,0.002075471698113439
2018-03-26,2.85,1.68,0.0,0.5,0.5,,-0.07527027027027056
2018-04-03,2.79,1.69,0.0,0.1,0.9,,-0.004390243902439023
2018-04-06,2.77,1.69,0.231,0.231,0.538,,-0.003764705882352939
2018-04-17,2.82,1.69,0.1,0.3,0.6,,0.0467708333333336
2018-04-19,2.92,1.69,0.067,0.067,0.867,,0.03673469387755106
2018-05-04,2.95,1.7,0.167,0.167,0.667,,-0.004778761061946903
2018-05-15,3.08,1.7,0.0,0.0,1.0,,0.006033057851239456
2018-05-16,3.09,1.7,0.0,0.286,0.714,,0.016033057851239686
2018-05-18,3.06,1.7,0.0,0.0,1.0,,-0.003966942148760331
2018-05-25,2.93,1.7,0.267,0.267,0.467,,-0.004380165289256201
2018-05-31,2.83,1.7,0.333,0.083,0.583,,0.05652892561983477
2018-06-20,2.93,1.92,0.2,0.333,0.467,,-0.030826446280991984
2018-06-27,2.83,1.91,0.0,0.0,1.0,,0.009504132231404745
2018-07-18,2.88,1.91,0.0,0.154,0.846,,-0.039333333333333366
2018-07-19,2.84,1.91,0.333,0.0,0.667,,0.0503333333333336
2018-08-24,2.82,1.92,0.111,0.0,0.889,,-0.0005000000000000004
2018-09-12,2.97,1.92,0.167,0.333,0.5,,0.0007500000000000025
2018-09-27,3.06,2.18,0.4,0.2,0.4,,-0.0094166666666669
2018-10-02,3.05,2.18,0.143,0.143,0.714,,0.09883333333333343
2018-10-03,3.15,2.18,0.0,0.5,0.5,,0.03883333333333337
2018-10-04,3.19,2.18,0.0,0.417,0.583,,0.038750000000000034
2018-10-15,3.16,2.18,0.0,0.5,0.5,,-0.0024999999999999983
2018-10-17,3.19,2.19,0.0,0.0,1.0,,-0.022500000000000017
2018-10-18,3.17,2.19,0.118,0.235,0.647,,0.02750000000000025
2018-10-25,3.14,2.2,0.0,0.304,0.696,,-0.06191666666666672
2018-11-09,3.19,2.19,0.0,0.455,0.545,,-0.0020833333333333333
2018-11-13,3.14,2.2,0.0,0.0,1.0,,-0.023333333333333355
2018-11-16,3.08,2.2,0.167,0.083,0.75,,-0.0030000000000000027
2018-11-27,3.06,2.2,0.167,0.333,0.5,,-0.0015833333333333329
2018-11-28,3.06,2.2,0.0,0.0,1.0,,-0.03158333333333358
2018-12-03,2.98,2.19,0.0,0.4,0.6,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.4,0.6,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.4,0.6,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.273,0.727,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.273,0.727,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.273,0.727,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.0,1.0,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.0,1.0,,-0.07174999999999984
2018-12-03,2.98,2.19,0.0,0.0,1.0,,-0.07174999999999984
2018-12-05,2.91,2.2,0.2,0.4,0.4,,-0.040750000000000036
2018-12-06,2.87,2.2,0.0,0.273,0.727,,-0.020916666666666684
2018-12-07,2.85,2.19,0.0,0.0,1.0,,-0.0006666666666666673
2019-01-09,2.74,2.4,0.0,0.0,1.0,,0.0011475409836065548
2019-02-01,2.7,2.4,0.0,0.2,0.8,,0.0027868852459016383
2019-02-06,2.7,2.4,0.083,0.417,0.5,,-0.04524590163934453
2019-02-06,2.7,2.4,0.083,0.417,0.5,,-0.04524590163934453
2019-02-06,2.7,2.4,0.143,0.286,0.571,,-0.04524590163934453
2019-02-06,2.7,2.4,0.143,0.286,0.571,,-0.04524590163934453
2019-02-10,2.63,2.4,0.0,0.409,0.591,,0.02426229508196723
2019-02-11,2.65,2.4,0.154,0.231,0.615,,0.034016393442623194
2019-02-12,2.68,2.4,0.0,0.444,0.556,,0.03434426229508177
2019-02-22,2.65,2.4,0.2,0.3,0.5,,0.007804878048780488
2019-02-22,2.65,2.4,0.2,0.3,0.5,,0.007804878048780488
2019-02-22,2.65,2.4,0.8,0.2,0.0,,0.007804878048780488
2019-02-22,2.65,2.4,0.8,0.2,0.0,,0.007804878048780488
2019-02-28,2.73,2.4,0.19,0.19,0.619,,0.03878048780487786
2019-02-28,2.73,2.4,0.19,0.19,0.619,,0.03878048780487786
2019-02-28,2.73,2.4,0.2,0.3,0.5,,0.03878048780487786
2019-02-28,2.73,2.4,0.2,0.3,0.5,,0.03878048780487786
2019-03-07,2.64,2.4,0.25,0.25,0.5,,-0.01669354838709679
2019-03-11,2.64,2.4,0.0,0.4,0.6,,-0.026960000000000248
2019-03-12,2.61,2.4,0.0,0.0,1.0,,0.003680000000000003
2019-03-25,2.43,2.4,0.083,0.167,0.75,,-0.015840000000000017
2019-03-28,2.39,2.41,0.1,0.4,0.5,,0.03152000000000002
2019-03-28,2.39,2.41,0.1,0.4,0.5,,0.03152000000000002
2019-03-28,2.39,2.41,0.1,0.4,0.5,,0.03152000000000002
2019-03-28,2.39,2.41,0.125,0.0,0.875,,0.03152000000000002
2019-03-28,2.39,2.41,0.125,0.0,0.875,,0.03152000000000002
2019-03-28,2.39,2.41,0.125,0.0,0.875,,0.03152000000000002
2019-03-28,2.39,2.41,0.333,0.333,0.333,,0.03152000000000002
2019-03-28,2.39,2.41,0.333,0.333,0.333,,0.03152000000000002
2019-03-28,2.39,2.41,0.333,0.333,0.333,,0.03152000000000002
2019-03-29,2.41,2.43,0.0,0.2,0.8,,0.0036000000000000016
2019-04-02,2.48,2.41,0.0,0.3,0.7,,0.04488000000000003
2019-04-09,2.51,2.41,0.0,0.0,1.0,,-0.02527559055118091
2019-04-10,2.48,2.41,0.167,0.0,0.833,,0.0394488188976376
2019-04-11,2.51,2.41,0.278,0.222,0.5,,0.05818897637795302
2019-04-11,2.51,2.41,0.278,0.222,0.5,,0.05818897637795302
2019-04-11,2.51,2.41,0.2,0.2,0.6,,0.05818897637795302
2019-04-11,2.51,2.41,0.2,0.2,0.6,,0.05818897637795302
2019-05-03,2.54,2.4,0.182,0.182,0.636,,0.0013492063492063521
2019-05-08,2.49,2.39,0.294,0.176,0.529,,-0.038333333333333365
2019-05-09,2.45,2.38,0.0,0.5,0.5,,0.021428571428571446
2019-05-10,2.47,2.38,0.308,0.154,0.538,,0.0014285714285714299
2019-05-13,2.4,2.38,0.25,0.25,0.5,,0.020158730158730178
2019-05-16,2.4,2.39,0.143,0.143,0.714,,-0.008730158730158515
2019-05-17,2.39,2.39,0.143,0.286,0.571,,0.001984126984126984
2019-05-20,2.41,2.39,0.188,0.25,0.562,,0.024285714285714306
2019-05-20,2.41,2.39,0.188,0.25,0.562,,0.024285714285714306
2019-05-20,2.41,2.39,0.0,0.0,1.0,,0.024285714285714306
2019-05-20,2.41,2.39,0.0,0.0,1.0,,0.024285714285714306
2019-05-30,2.22,2.39,0.154,0.077,0.769,,-0.07401574803149613
2019-05-30,2.22,2.39,0.154,0.077,0.769,,-0.07401574803149613
2019-05-30,2.22,2.39,0.08,0.12,0.8,,-0.07401574803149613
2019-05-30,2.22,2.39,0.08,0.12,0.8,,-0.07401574803149613
2019-06-03,2.07,2.38,0.0,0.444,0.556,,0.053149606299212865
2019-06-04,2.12,2.38,0.286,0.286,0.429,,0.003464566929133858
